FilePath,FileName,ClassName,TotalImports,TotalMethods,TotalMethodStatements,TotalTestMethods,AnnotationCount,TestsWithoutAnnotationCount,HasTestInFileName,HasTestInClassName,junitFrameworkTest,junitFrameworkTestCase,orgJunitTest,androidTestAndroidTestCase,androidTestInstrumentationTestCase,orgJunitAssert,androidTestActivityInstrumentationTestCase2,HasTechnicalDebtComment
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\TestYearMonthDay_Properties.java,TestYearMonthDay_Properties.java,TestYearMonthDay_Properties,6,32,315,27,0,27,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\TestYearMonth_Basics.java,TestYearMonth_Basics.java,MockYM,14,54,298,46,0,46,true,false,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\TestYearMonth_Constructors.java,TestYearMonth_Constructors.java,TestYearMonth_Constructors,9,33,133,29,0,29,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\TestYearMonth_Properties.java,TestYearMonth_Properties.java,TestYearMonth_Properties,6,23,189,18,0,18,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\TestYears.java,TestYears.java,TestYears,6,25,133,21,0,21,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\tz\TestAll.java,TestAll.java,TestAll,3,2,9,0,0,0,true,true,true,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\tz\TestBuilder.java,TestBuilder.java,TestBuilder,9,14,31,8,0,8,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\tz\TestCachedDateTimeZone.java,TestCachedDateTimeZone.java,TestCachedDateTimeZone,7,6,19,2,0,2,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\tz\TestCompiler.java,TestCompiler.java,TestCompiler,13,24,103,14,0,14,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\tz\TestFixedDateTimeZone.java,TestFixedDateTimeZone.java,TestFixedDateTimeZone,5,9,38,4,0,4,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\tz\TestUTCProvider.java,TestUTCProvider.java,TestUTCProvider,6,5,16,3,0,3,true,true,false,true,false,false,false,false,false,false
C:\Users\simon\Documents\Code\thesis-code\joda-time-main\src\test\java\org\joda\time\tz\TestZoneInfoCompiler.java,TestZoneInfoCompiler.java,TestZoneInfoCompiler,8,9,23,9,0,9,true,true,false,true,false,false,false,false,false,false
